ID,Site Name,Forest,County,"Elevation(Feet)",Latitude,Longitude,"Township,Range,Section,Meridian",USGS 7.5 min. map,Photographer,Taken On,imgOriginal,imgRecreated
311,Formans Pt. 1940,Mt. Hood,"Wasco, OR",3498,45.08696,121.4,T5S_R11E_S34_WM,"Foreman Point, OR",R.E.R.,6/16/1940,,
312,Fort Kalamath,Rogue River,"Klamath, OR",4184,42.70485,122.001053,T33S_R7.5E_S16_WM,"Fort Klamath, OR",W.B.O.,11/1/1929,,
313,Foster Bu,Fremont,"Lake, OR",6778,42.9369,120.972514,T30S_R15E_S29_WM,"Foster Butte, OR",_,8/17/1936,,
314,"Fox Bu, 1933",Deschutes,"Deschutes, OR",6109,43.610555,120.842764,T23S_R16E_S6_WM,"Fox Butte, OR",SNYDER,6/23/1933,,
315,"Fox Bu, 1938",Deschutes,"Deschutes, OR",6109,43.610555,120.842764,T23S_R16E_S6_WM,"Fox Butte, OR",_,6/22/1938,,
316,Frazier Mtn,Mt. Hood,"Clackamas, OR",4666,45.14351,121.975128,T5S_R7E_S17_WM,"High Rock, OR",SNYDER,10/17/1933,,
317,Frazier Pt,Malheur,"Grant, OR",6285,44.09402,118.647902,T17S_R33.5E_S16_WM,"Magpie Table, OR",_,7/11/1937,,
318,Frazier Pt. L.O.H.,Malheur,"Grant, OR",6285,44.09402,118.647902,T17S_R33.5E_S16_WM,"Magpie Table, OR",_,10/7/1935,,
319,Fredenburg,Rogue River,"Jackson, OR",4320,42.5836,122.547494,T34S_R2E_S26_WM,"Butte Falls, OR",_,8/8/1936,,
320,Freemans Pt,Siskiyou,"Curry, OR",1342,42.05186,124.236102,T41S_R13W_S3_WM,"Brookings, OR",SARLIN,4/4/1934,,
321,Freemont,Snoqualmie,"Pierce, WA",7101,46.933534,121.674998,T17N_R9E_S_WM,"Sunrise, WA",_,8/19/1934,,
322,Fremont Pt,Fremont,"Lake, OR",7135,42.8658,120.833777,T31S_R16E_S21_WM,"Fremont Point, OR",ARNST,5/18/1934,,
323,French Bu,Gifford Pinchot,"Skamania, WA",5306,46.346765,121.927013,T10N_R7E_S15_WM,"French Butte, WA",R.R.S.,7/1/1934,,
324,French Pt,Mt. Baker,"Snohomish, WA",1400,48.26205,121.7883,T32N_R8E_S16_WM,"Mount Higgins, WA",CLISBY,7/15/1935,,
325,French Rg,Wenatchee,"Chelan, WA",5800,47.636325,121.018389,T25N_R15E_S30_WM,"Stevens Pass, WA",R.R.S.,8/13/1934,,
326,Frissel Point,Willamette,"Lane, OR",5130,44.211405,122.100907,T15S_R6E_S33_WM,"Belknap Springs, OR",SARLIN-MOE,9/10/1933,,
327,Frog Lake Bu,Mt. Hood,"Wasco, OR",5293,45.21756,121.666381,T4S_R9E_S16_WM,"Wapinitia Pass, OR",COOPER,9/30/1933,,
328,Frost Mtn,Wenatchee,"Kittitas, WA",5740,47.063545,120.9961,T18N_R15E_S8_WM,"Frost Mountain, WA",G.B.C.,8/21/1934,,
329,Fuji Mtn,Willamette,"Lane, OR",7144,43.658885,122.102957,T22S_R5.5E_S14_WM,"Waldo Lake, OR",RITTENHOUSE,9/3/1933,,
330,Funk Mtn,Chelan,"Okanogan, WA",5122,48.59973,119.744553,T36N_R25E_S19_WM,"Conconully East, WA",_,11/2/1938,,
331,Fuzztail Bu,Deschutes,"Deschutes, OR",5734,43.866085,121.2092,T20S_R13E_S6_WM,"Fuzztail Butte, OR",COOPER,6/30/1933,,
332,Galena G.S.,Snoqualmie,"Snohomish, WA",1700,47.894975,121.434551,T28N_R11E_S30_WM,"Monte Cristo, WA",R.L.C.,8/4/1934,,
333,Game Lk,Siskiyou,"Curry, OR",4401,42.4303,124.091951,T36S_R12W_S27_WM,"Horse Sign Butte, OR",SARLIN,4/9/1934,,
334,Gauldy,Siuslaw,"Tillamook, OR",2227,45.16206,123.830408,T5S_R9W_S6_WM,"Hebo, OR",_,9/27/1936,,
335,Gearhart Mtn,Fremont,"Lake, OR",7994,42.47909,120.852352,T36S_R16E_S5_WM,"Campbell Reservoir, OR",SNYDER-RITTENHOUSE,5/15/1934,,
336,Gee Pt,Mt. Baker,"Skagit, WA",4970,48.42893,121.826264,T34N_R8E_S18_WM,"Gee Point, WA",_,8/3/1936,,
337,Gerow Bu,Ochoco,"Crook, OR",5688,44.2633,120.459905,T15S_R19E_S16_WM,"Gerow Butte, OR",R.R.S.,10/14/1934,,
338,Gill Ranch,Wallowa,"Wallowa, OR",4595,45.67578,116.967603,T2N_R47E_S5_WM,"Zumwalt, OR",ARNST,8/19/1935,,
339,Glacier Cr. Rg,Mt. Baker,"Snohomish, WA",5160,48.129731,121.177962,T31N_R13E_S36_WM,"Lime Mountain, WA",CLISBY,8/12/1935,,
340,Glacierview,Snoqualmie,"Pierce, WA",5450,46.81866,121.952095,T15N_R7E_S5_WM,"Mount Wow, WA",R.L.C.,7/23/1934,,
341,Glory Mtn,Chelan,"Chelan, WA",7228,48.432515,120.979656,T34N_R15E_S15_WM,"Goode Mountain, WA",J.D.R.,9/27/1934,,
342,Goat Mtn,Mt. Baker,"Whatcom, WA",4115,48.905815,121.647195,T40N_R9E_S33_WM,"Mount Larrabee, WA",WERNSTEDT,9/28/1935,,
343,Goat Pk,Chelan,"Okanogan, WA",7001,48.632035,120.40393,T36N_R19E_S12_WM,"McLeod Mountain, WA",J.D.R.,9/2/1934,,
344,Goat Pk,Wenatchee,"Kittitas, WA",4981,47.193165,121.192097,T20N_R13E_S26_WM,"Easton, WA",J.D.R.,8/13/1934,,
345,Goat Rg,Gifford Pinchot,"Lewis, WA",6201,46.481085,121.514946,T12N_R10E_S36_WM,"Hamilton Buttes, WA",J.D.R.,7/27/1934,,
346,Gobblers Knob,Snoqualmie,"Pierce, WA",5485,46.79395,121.913826,T15N_R7E_S_WM,"Mount Wow, WA",_,8/8/1934,,
347,Gold Basin Bu,Siskiyou,"Josephine, OR",4870,42.311945,123.839217,T37S_R10W_S35_WM,"Pearsoll Peak, OR",SARLIN,4/28/1934,,
348,Gold Butte,Willamette,"Marion, OR",4618,44.804985,122.083278,T9S_R6E_S9_WM,"Mother Lode Mountain, OR",RITTENHOUSE,10/1/1933,,
349,Gold Hill,Willamette,"Lane, OR",4796,44.21166,122.363403,T15S_R4E_S32_WM,"Blue River, OR",SARLIN,6/11/1934,,
350,Gold Pt,Willamette,"Lane, OR",3957,43.952365,122.4273,T19S_R3E_S2_WM,"Sinker Mountain, OR",COOPER,6/14/1934,,
351,Gold Rg,Chelan,"Okanogan, WA",3190,48.213076,120.190615,T31N_R21E_S3_WM,"Hungry Mountain, WA",_,11/4/1939,,
352,Goman Pk,Wenatchee,"Chelan, WA",3499,47.795965,120.256904,T27N_R21E_S31_WM,"Baldy Mountain, WA",R.R.S.,10/1/1934,,
353,Goode Rg,Chelan,"Chelan, WA",7430,48.462855,120.898425,T34N_R16E_S8_WM,"Goode Mountain, WA",J.D.R.,9/26/1934,,
354,Goodman Rg,Umatilla,"Umatilla, OR",5218,45.589335,118.209221,T1N_R37E_S5_WM,"Thimbleberry Mountain, OR",_,7/12/1937,,
355,Goodwin Pk,Siuslaw,"Lane, OR",1700,43.927355,123.890899,T19S_R10W_S9_WM,"Goodwin Peak, OR",_,10/17/1936,,
356,Granite Mtn,Chelan,"Okanogan, WA",7366,48.496355,119.897094,T35N_R23E_S25_WM,"Loup Loup Summit, WA",A.A.,9/7/1934,,
357,Granite Mtn,Snoqualmie,"King, WA",5629,47.417485,121.48113,T22N_R10E_S1_WM,"Snoqualmie Pass, WA",J.D.R.,7/31/1934,,
358,Granny Pt,Wallowa,"Wallowa, OR",6345,45.41074,116.744582,T2S_R49E_S6_WM,"Hat Point, OR",ARNST,8/30/1935,,
359,Grass Mtn,Willamette,"Lane, OR",5163,43.5919,122.543267,T23S_R2E_S11_WM,"Bearbones Mountain, OR",BIRCHALL,8/27/1933,,
360,Grass Mtn,Siuslaw,"Benton, OR",3603,44.423525,123.673212,T13S_R8W_S21_WM,"Grass Mountain, OR",_,9/17/1936,,
361,Grasshopper,Umpqua,"Douglas, OR",5522,43.05071,122.516339,T29S_R3E_S18_WM,"Buckeye Lake, OR",COOPER,7/27/1933,,
362,Grasshopper Mtn,Willamette,"Lane, OR",5642,43.909745,122.194675,T19S_R5E_S15_WM,"Grasshopper Mountain, OR",BIRCHALL-RITTENHOUSE,9/10/1933,,
363,Grasshopper Pt,Mt. Hood,"Wasco, OR",5385,45.25241,121.535723,T4S_R10E_S3_WM,"Badger Lake, OR",SARLIN,11/7/1933,,
364,Grassy Bu,Umatilla,"Grant, OR",4408,44.95688,119.622166,T7S_R26E_S16_WM,"Turner Mountain, OR",ARNST,7/20/1935,,
365,Grassy Knoll,Wallowa,"Wallowa, OR",6515,45.52527,116.633557,T1N_R50E_S31_WM,"Sleepy Ridge, OR",ARNST,8/27/1935,,
366,Grassy Knoll,Gifford Pinchot,"Skamania, WA",3649,45.815255,121.755239,T4N_R8E_S23_WM,"Big Huckleberry Mountain, WA",RITTENHOUSE,7/2/1934,,
367,Green Bu,Tillamook Burn,"Clatsop, OR",2493,45.876405,123.39894,T5N_R6W_S35_WM,"Sager Creek, OR",S.L.M.,5/11/1936,,
368,Green Bu,Umpqua,"Douglas, OR",3901,42.855815,123.001414,T31S_R3W_S25_WM,"Cedar Springs Mountain, OR",BIRCHALL-MOE,8/14/1933,,
369,Green Mtn,Mt. Baker,"Snohomish, WA",6500,48.29136,121.238244,T32N_R12E_S3_WM,"Downey Mountain, WA",CLISBY,9/20/1935,,
370,Green Peter,Willamette,"Linn, OR",3977,44.482835,122.582485,T12S_R2E_S32_WM,"Green Peter, OR",RITTENHOUSE,6/13/1934,,
371,Green Pt,Mt. Hood,"Hood River, OR",4736,45.624445,121.770043,T2N_R8E_S25_WM,"Carson, OR",COOPER,6/21/1934,,
372,Green Rg,Deschutes,"Jefferson, OR",4680,44.533945,121.608636,T12S_R9E_S13_WM,"Prairie Farm Spring, OR",HUNTER,1/26/1943,,
373,Greenleaf Pk,Gifford Pinchot,"Skamania, WA",3422,45.71366,121.966653,T3N_R7E_S29_WM,"Bonneville Dam, WA",COOPER,7/11/1934,,
374,Grey Rk,Rogue River,"Jackson, OR",5347,42.890725,122.618156,T31S_R2E_S8_WM,"Abbott Butte, OR",SNYDER,7/28/1933,,
375,Griffin Pk,Umatilla,"Columbia, WA",5682,46.09342,117.911857,T7N_R39E_S10_WM,"Deadman Peak, WA",ARNST,8/10/1935,,
376,Grizzly Mtn,Siskiyou,"Curry, OR",2347,42.39597,124.364138,T37S_R14W_S4_WM,"Signal Buttes, OR",_,6/23/1937,,
377,Grizzly Pk,Willamette,"Linn, OR",5799,44.643465,121.852902,T11S_R7.5E_S1_WM,"Mount Jefferson, OR",SNYDER,10/3/1933,,
378,Gumboot,Gifford Pinchot,"Skamania, WA",3856,45.86188,122.213511,T4N_R5E_S5_WM,"Gumboot Mountain, WA",_,7/9/1937,,
379,Hager Mtn,Fremont,"Lake, OR",7185,43.009265,121.031585,T29S_R14E_S35_WM,"Hager Mountain, OR",RITTENHOUSE,5/18/1934,,
380,Hamaker,Rogue River,"Douglas, OR",2940,43.05069,122.320231,T29S_R4E_S14_WM,"Hamaker Butte, OR",COOPER,7/29/1933,,
381,Hamilton Bu,Gifford Pinchot,"Lewis, WA",5772,46.389715,121.605718,T11N_R10E_S31_WM,"Hamilton Buttes, WA",_,1/1/1929,,
382,Hanging Rk,Siskiyou,"Coos, OR",3940,42.73988,123.931718,T32S_R11W_S36_WM,"Marial, OR",_,8/28/1934,,
383,Hansen Mill,Mt. Hood,"Wasco, OR",2723,45.49336,121.425541,T1S_R11E_S9_WM,"Ketchum Reservoir, OR",COOPER-ARNST,11/11/1933,,
384,Hardesty Mtn,Willamette,"Lane, OR",4273,43.798905,122.668384,T20S_R1E_S27_WM,"Mount June, OR",COOPER,6/12/1934,,
385,Hardscribble,Ochoco,"Grant, OR",5115,44.217518,119.59265,T16S_R26E_S3_WM,"Powell Mountain, OR",_,8/27/1936,,
386,Harl Bu,Wallowa,"Wallowa, OR",6073,45.32851,116.877188,T3S_R48E_S6_WM,"Harl Butte, OR",ARNST,8/26/1935,,
387,Hash Rk,Ochoco,"Crook, OR",5816,44.48259,120.614314,T12S_R18E_S31_WM,"Steins Pillar, OR",R.R.S.,10/14/1934,,
388,Hat Pt,Wallowa,"Wallowa, OR",6982,45.43776,116.661731,T1S_R49E_S35_WM,"Hat Point, OR",_,8/29/1935,,
389,Hawk Mtn,Mt. Hood,"Marion, OR",5277,44.85663,121.944443,T8S_R7E_S27_WM,"Breitenbush Hot Springs, OR",SARLIN,6/23/1934,,
390,Hawkeye,Gifford Pinchot,"Lewis, WA",7431,46.52235,121.493035,T12N_R11E_S18_WM,"Old Snowy Mountain, WA",_,1/1/1929,,
391,He He Mtn,Willamette,"Lane, OR",4066,44.027215,122.352737,T18S_R4E_S5_WM,"Harvey Mountain, OR",COOPER,6/15/1934,,
392,Heavens Gate,Wallowa,"Idaho, ID",8429,45.36782,116.493388,T23N_R1W_S5_BM,"Heavens Gate, ID",ARNST,9/21/1935,,
393,Hebo Mt. E. Pt,Siuslaw,"Yamhill, OR",3176,45.21959,123.724456,T4S_R9W_S13_WM,"Hebo, OR",_,9/28/1936,,
394,Hebo Mt. L.O.H.,Siuslaw,"Yamhill, OR",3165,45.225215,123.729375,T4S_R9W_S13_WM,"Hebo, OR",COOPER,2/22/1934,,
395,Hebo Mt. L.O.T.,Siuslaw,"Yamhill, OR",3140,45.20771,123.759845,T4S_R9W_S23_WM,"Hebo, OR",COOPER,3/8/1934,,
396,Hebo Mt. W. Pt,Siuslaw,"Yamhill, OR",2878,45.220218,123.764189,T4S_R9W_S15_WM,"Hebo, OR",COOPER,3/10/1934,,
397,Helena,Wallowa,"Adams, ID",7126,45.1664,116.663611,T21N_R3W_S11_BM,"White Monument, ID",ARNST,9/17/1935,,
398,Hemlock Mtn,Willamette,"Lane, OR",5804,43.573165,122.199645,T23S_R5E_S15_WM,"Diamond Peak, OR",RITTENHOUSE,9/1/1933,,
399,Hen,Wallowa,"Wallowa, OR",4620,45.7306,117.3639,T3N_R44E_S19_WM,"Sled Springs, OR",_,9/4/1936,,
400,Henline Mtn,Willamette,"Marion, OR",4115,44.854055,122.312084,T8S_R4E_S27_WM,"Elkhorn, OR",_,5/5/1937,,
401,Herman Pk,Siuslaw,"Lane, OR",2082,44.124085,124.01239,T17S_R11W_S4_WM,"Mercer Lake, OR",_,10/7/1936,,
402,Hershberger,Rogue River,"Douglas, OR",6200,43.03317,122.454523,T29S_R3E_S22_WM,"Fish Mountain, OR",COOPER,7/27/1933,,
403,Heybrook,Snoqualmie,"Snohomish, WA",1730,47.810325,121.524549,T27N_R10E_S21_WM,"Index, WA",R.L.C.,8/4/1934,,
404,Hickman Bu,Mt. Hood,"Clackamas, OR",4385,45.41229,121.910985,T2S_R7E_S11_WM,"Hickman Butte, OR",COOPER-RITTENHOUSE,11/8/1933,,
405,Hidden Lk. Pk,Mt. Baker,"Skagit, WA",6890,48.49524,121.204726,T35N_R12E_S26_WM,"Sonny Boy Lakes, WA",_,8/24/1935,,
406,Higgins Mtn,Mt. Baker,"Skagit, WA",4649,48.311055,121.794862,T33N_R8E_S32_WM,"Mount Higgins, WA",CLISBY,7/18/1935,,
407,High Camp,Clackamas-Marion FPA,"Clackamas, OR",4407,45.00756,122.335973,T6S_R4E_S32_WM,"Soosap Peak, OR",S.L.M.,9/17/1935,,
408,High Deck,Willamette,"Linn, OR",3566,44.431405,122.459526,T13S_R3E_S16_WM,"Cascadia, OR",COOPER-ARNST,6/10/1934,,
409,High Rg,Umatilla,"Union, OR",5303,45.682645,118.101878,T2N_R38E_S6_WM,"Andies Prairie, OR",ARNST,7/30/1935,,
410,High Rk,Mt. Hood,"Clackamas, OR",4953,45.15973,121.89086,T5S_R7E_S1_WM,"High Rock, OR",SARLIN,10/17/1933,,
411,High Rk,Snoqualmie,"Lewis, WA",5685,46.68422,121.901049,T14N_R7E_S22_WM,"Sawtooth Ridge, WA",R.L.C.,7/24/1934,,
412,Highland Bu,Clackamas-Marion FPA,"Clackamas, OR",1594,45.236825,122.442328,T4S_R3E_S9_WM,"Colton, OR",S.L.M.,8/10/1935,,
413,Highland Bu,Mt. Hood,"Clackamas, OR",1594,45.23687,122.442456,T4S_R3E_S9_WM,"Colton, OR",_,8/8/1936,,
414,Higley Pk,Olympic,"Grays Harbor, WA",3025,47.510255,123.886932,T23N_R10W_S1_WM,"Matheny Ridge, WA",CLISBY,6/15/1935,,
415,Hill Top,Siuslaw,"Lincoln, OR",894,44.54751,123.742079,T12S_R9W_S11_WM,"Harlan, OR",_,9/25/1936,,
416,Hillockburn,Mt. Hood,"Clackamas, OR",2645,45.169945,122.251955,T4S_R5E_S6_WM,"Elwood, OR",COOPER,10/25/1933,,
417,Hills Pk,Willamette,"Douglas, OR",6048,43.40569,122.189695,T25S_R5E_S14_WM,"Emigrant Butte, OR",RITTENHOUSE,8/22/1933,,
418,Hiyu Mtn,Mt. Hood,"Clackamas, OR",4654,45.43503,121.806647,T1S_R8E_S34_WM,"Bull Run Lake, OR",SNYDER,3/15/1934,,
419,Hobsons Horn,Siskiyou,"Josephine, OR",4710,42.552125,123.783294,T35S_R9W_S5_WM,"Hobson Horn, OR",_,8/25/1936,,
420,Hoffman Hill,Tillamook Burn,"Washington, OR",2038,45.759595,123.170238,T3N_R4W_S10_WM,"Vernonia, OR",S.L.M.,7/30/1936,,
421,Hole-in-ground,Siskiyou,"Del Norte, CA",2644,41.98556,124.015792,T18N_R1E_S1_HM,"High Divide , CA",_,8/31/1936,,
422,Holland Pt,Umpqua,"Lane, OR",5048,43.663645,122.576253,T22S_R2E_S16_WM,"Holland Point, OR",RITTENHOUSE,3/12/1934,,
423,Hoodoo Spr,Umatilla,"Wallowa, OR",4219,45.947875,117.610906,T5N_R42E_S6_WM,"Eden, OR",ARNST,8/4/1935,,
424,Hoover Pt,Willamette,"Marion, OR",3410,44.723691,122.108941,T10S_R6E_S8_WM,"Idanha, OR",MOE-SARLIN,10/1/1933,,
425,Horse Heaven,Wallowa,"Idaho, ID",8200,45.26986,116.575498,T22N_R2W_S3_BM,"He Devil, ID",ARNST,9/19/1935,,
426,Horse Mtn,Willamette,"Lane, OR",6224,43.987695,121.896788,T18S_R7E_S28_WM,"Packsaddle Mountain, OR",MOE,9/2/1933,,
427,Horse Pasture,Willamette,"Lane, OR",5660,44.115155,122.088016,T17S_R6E_S4_WM,"French Mountain, OR",SARLIN,5/26/1934,,
428,Horsefly Bu,Fremont,"Klamath, OR",6466,42.264175,121.048894,T38S_R14E_S22_WM,"Horsefly Mountain, OR",SARLIN,5/15/1934,,
429,Horseshoe Rg,Gifford Pinchot,"Skamania, WA",3495,45.93229,122.119094,T5N_R6E_S7_WM,"Bare Mountain, WA",RITTENHOUSE,7/11/1934,,
430,Horton Bu,Chelan,"Chelan, WA",6834,48.238375,120.521546,T32N_R19E_S30_WM,"Lucerne, WA",J.D.R.,9/16/1934,,
431,House Mtn,Clackamas-Marion FPA,"Marion, OR",3947,44.84071,122.482708,T8S_R3E_S30_WM,"Mill City North, OR",S.L.M.,10/21/1935,,
432,Huckleberry,Willamette,"Lane, OR",5549,43.846405,122.317913,T20S_R4E_S10_WM,"Huckleberry Mountain, OR",RITTENHOUSE,9/9/1933,,
433,Huckleberry,Whitman,"Baker, OR",5786,44.674895,118.189197,T10S_R37E_S21_WM,"Sumpter, OR",ARNST,10/13/1935,,
434,Huckleberry,Snoqualmie,"King, WA",4764,47.17934,121.613594,T20N_R9E_S36_WM,"Nagrom, WA",G.B.C.,8/13/1934,,
435,"Huckleberry, Big",Gifford Pinchot,"Skamania, WA",4202,45.84723,121.783534,T4N_R8E_S10_WM,"Big Huckleberry Mountain, WA",REINHART,7/9/1941,,
436,Huckleberry Mtn,Mt. Hood,"Clackamas, OR",4830,45.320782,121.989414,T3S_R7E_S7_WM,"Wildcat Mountain, OR",J.D.R.,6/8/1934,,
437,Huckleberry Mtn,Rogue River,"Jackson, OR",6370,42.845915,122.313606,T31S_R4E_S26_WM,"Red Blanket Mountain, OR",RITTENHOUSE,5/6/1934,,
438,Huckleberry Mtn,Wallowa,"Wallowa, OR",7552,45.42431,117.49529,T2S_R43E_S6_WM,"Lostine, OR",ARNST,8/21/1935,,
439,Huckleberry Mtn,Snoqualmie,"Lewis, WA",3800,46.711705,122.435253,T14N_R3E_S9_WM,"Newaukum Lake, WA",R.L.C.,7/31/1934,,
440,Huckleberry Rg,Mt. Baker,"Skagit, WA",5856,48.31086,121.322444,T33N_R11E_S34_WM,"Huckleberry Mountain, WA",CLISBY,9/7/1935,,
441,Huffman Pk,Gifford Pinchot,"Skamania, WA",4106,45.979505,122.162607,T6N_R5E_S26_WM,"Siouxon Peak, WA",RITTENHOUSE,7/6/1934,,
442,Humphrey,Snoqualmie,"King, WA",2573,47.23991,121.677651,T20N_R9E_S9_WM,"Greenwater, WA",J.D.R.,8/8/1934,,
443,Hungry Pk,Gifford Pinchot,"Skamania, WA",4048,46.12095,121.867074,T7N_R7.5E_S1_WM,"Lone Butte, WA",CLISBY,10/18/1935,,
444,Hurricane,Olympic,"Clallam, WA",5757,47.989985,123.528741,T29N_R7W_S_WM,"Hurricane Hill, WA",OSBORNE,8/25/1935,,
445,Icicle Rg,Wenatchee,"Chelan, WA",6906,47.588862,120.756974,T24N_R17E_S7_WM,"Cashmere Mountain, WA",R.R.S.,8/10/1934,,
446,Illahee Rk,Umpqua,"Douglas, OR",5384,43.348455,122.562814,T26S_R2E_S21_WM,"Illahee Rock, OR",COOPER-SARLIN,8/18/1933,,
447,Indian Bu,Deschutes,"Lake, OR",5995,43.55756,121.151375,T23S_R13E_S27_WM,"Indian Butte, OR",SNYDER,6/2/1933,,
448,Indian Mtn,Mt. Hood,"Hood River, OR",4400,45.547965,121.828635,T1N_R8E_S28_WM,"Wahtum Lake, OR",R.L.C.,6/2/1934,,
449,Indian Rg,Willamette,"Lane, OR",5405,44.00535,122.254484,T18S_R5E_S18_WM,"Harvey Mountain, OR",SNYDER,8/22/1933,,
450,Indian Rg,Mt. Hood,"Clackamas, OR",4308,45.182768,122.024446,T4S_R6E_S35_WM,"High Rock, OR",MOE-ARNST,10/16/1933,,
451,Indian Rk,Whitman,"Grant, OR",7330,44.756745,118.691567,T9S_R33E_S25_WM,"Desolation Butte, OR",ARNST,10/9/1935,,
452,Ingram Pt,Ochoco,"Crook, OR",5714,44.50753,120.619299,T12S_R18E_S19_WM,"Opal Mountain, OR",G.B.C.,10/14/1934,,
453,Iron Mtn,Willamette,"Linn, OR",5455,44.400695,122.148629,T13S_R5E_S36_WM,"Harter Mountain, OR",SNYDER,9/3/1933,,
454,Iron Mtn,Siskiyou,"Curry, OR",4026,42.675476,124.147768,T33S_R12W_S33_WM,"Ophir Mountain, OR",SNYDER,4/4/1934,,
455,Jack Pot Pt,Mt. Hood,"Clackamas, OR",3640,45.21142,121.778031,T4S_R8E_S24_WM,"Wolf Peak, OR",RITTENHOUSE,6/29/1934,,
456,Jack Rg,Wenatchee,"Chelan, WA",6280,47.555084,120.918003,T24N_R15E_S24_WM,"Jack Ridge, WA",R.R.S.,8/16/1923,,
457,Jackass Mtn,Chelan,"Okanogan, WA",1738,48.35357,119.563228,T33N_R26E_S16_WM,"Okanogan, WA",COOPER,7/9/1936,,
458,Jackley Mtn,Wallowa,"Adams, ID",8757,45.24776,116.520324,T22N_R2W_S13_BM,"Purgatory Saddle, ID",ARNST,9/18/1935,,
459,Joes Pt,Mt. Hood,"Wasco, OR",3653,45.428355,121.413963,T2S_R11E_S3_WM,"Fivemile Butte, OR",COOPER,6/29/1934,,
460,Johnson Bu,Siskiyou,"Curry, OR",3779,42.25345,123.965061,T38S_R11W_S23_WM,"Tincup Peak, OR",_,11/7/1936,,
461,Johnson Bu,Umpqua,"Douglas, OR",3382,43.432675,122.634009,T25S_R1E_S1_WM,"Chilcoot Mountain, OR",RITTENHOUSE,3/22/1934,,
462,Johnson Mtn,Siskiyou,"Coos, OR",2941,42.814839,124.093604,T32S_R12W_S3_WM,"China Flat, OR",_,6/28/1937,,
463,Jolly Mtn,Wenatchee,"Kittitas, WA",6443,47.38345,121.020999,T22N_R14E_S27_WM,"Davis Peak, WA",J.D.R.,8/17/1934,,
464,Jumpoff,Snoqualmie,"Yakima, WA",5670,46.64446,121.031517,T13N_R14E_S1_WM,"Tieton Basin, WA",_,1/1/1929,,
465,Jumpoff Joe,Willamette,"Linn, OR",4285,44.36938,122.181885,T14S_R5E_S11_WM,"Carpenter Mountain, OR",_,7/16/1937,,
466,Junction Mtn,Chelan,"Chelan, WA",5926,48.37592,120.903787,T33N_R16E_S8_WM,"Goode Mountain, WA",J.D.R.,9/19/1934,,
467,June Mtn,Umpqua,"Lane, OR",4616,43.790605,122.723861,T20S_R1E_S32_WM,"Mount June, OR",RITTENHOUSE,3/14/1934,,
468,Junior Pt,Chelan,"Chelan, WA",6654,47.99422,120.40014,T29N_R19E_S26_WM,"Brief, WA",A.A.,8/24/1934,,
469,Juniper Bu,Ochoco,"Wheeler, OR",1400,44.570575,119.800716,T11S_R24E_S35_WM,"Tubb Spring, OR",CLISBY,6/8/1936,,
470,Juniper Pk,Gifford Pinchot,"Skamania, WA",5611,46.367895,121.777878,T10N_R8E_S11_WM,"McCoy Peak, WA",J.D.R,7/15/1935,,
471,Juniper Pt,Chelan,"Okanogan, WA",5643,48.88595,119.74881,T39N_R25E_S19_WM,"Hurley Peak, WA",_,11/3/1938,,
472,Kelly Bu,Snoqualmie,"King, WA",5420,47.168995,121.489862,T19N_R10E_S2_WM,"Lester, WA",J.D.R.,8/11/1934,,
473,Kelsay Mtn,Umpqua,"Douglas, OR",5987,43.348495,122.184538,T25.5S_R5E_S36_WM,"Lemolo Lake, OR",_,8/20/1936,,
474,Kelsay Pt,Umpqua,"Douglas, OR",4953,43.30042,122.107266,T26S_R6E_S16_WM,"Tolo Mountain, OR",_,8/20/1936,,
475,Kenyon Mtn,Umpqua,"Coos, OR",3294,43.00143,123.778238,T29S_R9W_S33_WM,"Kenyon Mountain, OR",_,7/31/1936,,
476,Kerby Pk,Siskiyou,"Josephine, OR",5554,42.22012,123.460982,T38S_R6W_S31_WM,"Kerby Peak, OR",COOPER,4/26/1934,,
477,Keystone Pt,Wenatchee,"Chelan, WA",3900,47.63592,120.280801,T25N_R20E_S25_WM,"Ardenvoir, WA",CLISBY,10/2/1935,,
478,King Mtn,Umpqua,"Josephine, OR",5265,42.69136,123.230196,T33S_R5W_S24_WM,"King Mountain, OR",BIRCHALL-ARNST,8/15/1933,,
479,King Mtn,Malheur,"Harney, OR",6678,43.810485,118.868924,T20S_R32E_S27_WM,"Telephone Butte, OR",OSBORNE,10/10/1935,,
480,Kinney Ridge,Willamette,"Linn, OR",2320,44.69203,122.229438,T10S_R5E_S20_WM,"Detroit, OR",_,6/4/1937,,
481,Kiona Pk,Gifford Pinchot,"Lewis, WA",4849,46.56672,122.017054,T13N_R6E_S35_WM,"Kiona Peak, WA",_,1/1/1929,,
482,Kirkland,Wallowa,"Wallowa, OR",5244,45.83765,117.132998,T4N_R45E_S13_WM,"Table Mountain, OR",ARNST,8/16/1935,,
483,Klone Pk,Wenatchee,"Chelan, WA",6820,47.96163,120.620305,T29N_R18E_S32_WM,"Silver Falls, WA",R.R.S.,9/18/1934,,
484,Kloshe Nanich,Olympic,"Clallam, WA",3330,48.08416,124.071873,T30N_R11W_S23_WM,"Snider Peak, WA",OSBORNE,8/24/1935,,
485,Knowlton Mtn,Chelan,"Okanogan, WA",3852,48.16407,119.901589,T31N_R23E_S24_WM,"Knowlton Knob, WA",R.L.C.,9/14/1934,,
